user_id,event_time,event_type,product_id,session_id
718,2024-12-01 07:57:37,add_to_cart,184,s000001
805,2025-04-02 10:47:00,add_to_cart,387,s000002
681,2024-08-16 05:11:20,add_to_cart,339,s000003
2416,2024-01-23 09:49:08,view,19,s000004
2222,2025-03-05 12:29:24,wishlist,364,s000005
149,2024-09-28 08:46:33,add_to_cart,324,s000006
1312,2025-10-30 20:53:19,view,37,s000007
871,2024-09-15 22:35:13,add_to_cart,289,s000008
1175,2024-11-03 18:01:33,view,149,s000009
806,2024-12-04 19:36:42,view,209,s000010
1834,2024-02-08 11:24:15,add_to_cart,362,s000011
19,2025-09-11 22:35:05,add_to_cart,242,s000012
481,2025-11-11 21:04:52,view,114,s000013
1700,2025-05-03 20:25:53,view,29,s000014
293,2024-07-11 19:55:52,add_to_cart,304,s000015
2264,2025-03-29 04:14:03,wishlist,311,s000016
2174,2024-02-29 13:02:22,add_to_cart,228,s000017
761,2024-02-19 01:26:00,view,122,s000018
2003,2024-10-16 17:41:10,view,272,s000019
2446,2024-08-01 08:20:21,purchase,242,s000020
1907,2025-05-23 12:36:53,view,33,s000021
1060,2025-09-14 19:19:20,view,358,s000022
1460,2025-01-09 13:19:51,view,392,s000023
2123,2025-04-23 21:08:46,view,273,s000024
2473,2024-07-04 19:52:33,view,294,s000025
427,2025-08-16 20:20:47,view,391,s000026
1023,2024-03-07 10:20:29,view,119,s000027
1723,2025-10-05 18:03:42,view,254,s000028
2180,2024-09-01 16:32:47,view,5,s000029
278,2025-06-21 13:44:03,view,299,s000030
1987,2024-04-27 13:15:58,add_to_cart,164,s000031
1410,2024-09-06 09:13:49,add_to_cart,193,s000032
618,2024-10-26 22:23:08,view,126,s000033
1315,2024-12-05 06:55:56,wishlist,232,s000034
1928,2025-05-06 18:25:12,add_to_cart,272,s000035
31,2024-04-24 08:17:43,purchase,328,s000036
596,2025-05-12 07:33:47,add_to_cart,238,s000037
659,2024-09-10 15:40:24,add_to_cart,367,s000038
1896,2025-05-09 12:51:11,wishlist,377,s000039
884,2024-10-04 08:35:22,add_to_cart,324,s000040
1144,2024-01-08 13:55:44,view,241,s000041
2157,2025-07-13 21:58:07,purchase,50,s000042
635,2025-03-02 22:05:49,purchase,92,s000043
720,2024-02-25 16:44:00,wishlist,360,s000044
1605,2025-04-21 19:16:55,purchase,95,s000045
2056,2025-03-16 11:04:53,add_to_cart,185,s000046
673,2024-08-19 16:59:58,view,163,s000047
1071,2025-12-05 21:22:25,view,393,s000048
832,2025-11-01 13:12:20,add_to_cart,82,s000049
38,2025-06-14 17:48:34,wishlist,158,s000050
1476,2025-06-10 20:32:37,remove_from_cart,227,s000051
571,2024-08-13 20:50:23,view,48,s000052
1712,2024-04-17 12:34:20,view,89,s000053
862,2024-11-23 05:43:33,purchase,153,s000054
2205,2024-04-15 17:54:23,add_to_cart,90,s000055
726,2025-09-09 18:18:25,view,267,s000056
875,2024-03-22 12:15:01,wishlist,202,s000057
1203,2025-11-23 14:47:25,wishlist,199,s000058
624,2024-10-17 09:13:44,wishlist,264,s000059
1277,2025-01-06 20:18:50,wishlist,312,s000060
2047,2024-01-03 18:27:51,wishlist,145,s000061
1041,2024-11-17 21:43:02,view,334,s000062
390,2025-08-17 19:24:26,view,32,s000063
1538,2024-03-30 20:09:33,view,221,s000064
1304,2024-11-16 19:34:40,view,157,s000065
1550,2025-11-23 17:04:48,purchase,78,s000066
8,2024-03-10 13:02:24,purchase,262,s000067
1699,2024-06-05 18:03:11,wishlist,383,s000068
26,2025-11-30 02:06:28,view,152,s000069
1375,2024-10-27 18:06:58,purchase,103,s000070
1556,2025-01-24 09:01:26,view,69,s000071
2014,2024-04-28 10:30:55,wishlist,280,s000072
605,2024-09-26 05:11:58,remove_from_cart,39,s000073
627,2024-09-05 17:22:17,purchase,109,s000074
58,2025-11-10 06:59:00,remove_from_cart,236,s000075
703,2025-11-24 02:15:42,add_to_cart,316,s000076
1418,2025-02-15 03:27:27,view,328,s000077
1035,2024-01-11 22:42:12,purchase,277,s000078
2047,2025-08-04 13:48:20,view,392,s000079
271,2024-01-12 20:35:44,view,88,s000080
2372,2025-10-02 20:11:32,wishlist,92,s000081
2249,2024-12-24 18:03:32,add_to_cart,37,s000082
1451,2025-09-11 13:25:35,view,72,s000083
647,2025-05-14 08:02:54,view,214,s000084
234,2025-04-08 23:08:17,purchase,245,s000085
2459,2024-11-21 17:15:03,view,33,s000086
692,2024-10-20 20:31:16,add_to_cart,188,s000087
623,2024-09-08 15:18:18,view,123,s000088
951,2025-01-22 11:13:38,add_to_cart,247,s000089
1090,2025-01-08 17:22:47,add_to_cart,80,s000090
783,2025-06-30 15:40:16,purchase,116,s000091
1178,2024-03-21 09:08:37,add_to_cart,285,s000092
2111,2024-05-05 11:03:48,purchase,164,s000093
2094,2024-11-01 10:01:53,view,254,s000094
2282,2024-05-06 13:10:06,view,65,s000095
213,2025-02-28 09:36:44,view,248,s000096
440,2025-01-22 07:16:54,remove_from_cart,355,s000097
122,2024-09-29 11:33:43,wishlist,103,s000098
1135,2025-08-26 19:31:48,view,272,s000099
1204,2025-05-06 11:24:00,view,400,s000100
898,2024-11-08 05:18:54,wishlist,202,s000101
1925,2024-07-21 00:06:34,view,135,s000102
1788,2025-03-18 15:09:22,purchase,265,s000103
544,2025-10-22 17:18:00,view,274,s000104
2380,2025-09-03 07:01:08,view,127,s000105
1346,2025-12-11 11:44:58,view,248,s000106
2297,2025-07-29 22:13:42,purchase,149,s000107
1751,2024-03-15 15:29:20,view,101,s000108
2268,2025-04-08 09:24:56,view,35,s000109
2498,2025-03-16 18:00:13,wishlist,264,s000110
1466,2024-10-20 08:44:56,purchase,124,s000111
172,2024-12-20 23:12:11,add_to_cart,268,s000112
2290,2025-06-20 10:55:01,view,240,s000113
1041,2025-10-24 14:46:19,view,318,s000114
1348,2024-03-12 08:55:41,view,140,s000115
1898,2024-11-13 17:39:02,add_to_cart,19,s000116
1709,2025-02-19 17:23:52,purchase,235,s000117
1378,2024-01-24 13:39:24,view,295,s000118
129,2024-07-25 19:01:21,view,340,s000119
1645,2024-10-27 19:06:59,view,278,s000120
83,2024-06-08 19:31:56,view,151,s000121
1139,2024-11-20 21:58:10,purchase,110,s000122
2060,2024-09-29 14:29:51,view,339,s000123
1739,2024-05-19 12:32:29,view,296,s000124
1681,2024-12-01 06:02:16,add_to_cart,127,s000125
1360,2024-03-29 21:26:28,wishlist,226,s000126
453,2025-11-21 20:44:10,add_to_cart,75,s000127
274,2025-10-14 20:37:53,view,284,s000128
2010,2024-10-21 18:34:32,view,389,s000129
675,2025-08-08 19:04:39,wishlist,133,s000130
106,2025-05-17 07:44:22,add_to_cart,327,s000131
2295,2025-06-13 11:29:45,view,399,s000132
1140,2024-01-06 13:07:33,view,110,s000133
2317,2024-09-24 02:52:07,view,207,s000134
1047,2024-06-08 21:06:17,purchase,131,s000135
10,2024-07-21 19:02:50,view,3,s000136
1681,2025-09-20 20:07:03,remove_from_cart,24,s000137
1280,2024-07-07 20:38:31,view,398,s000138
1684,2025-08-21 08:35:32,add_to_cart,269,s000139
1353,2025-07-21 08:59:13,purchase,384,s000140
1060,2024-10-23 17:47:38,view,302,s000141
1536,2024-06-21 18:38:30,remove_from_cart,59,s000142
1684,2025-10-04 21:17:28,purchase,209,s000143
1501,2024-10-22 13:35:44,wishlist,261,s000144
997,2024-01-12 06:03:53,remove_from_cart,342,s000145
769,2024-04-19 08:41:45,add_to_cart,301,s000146
1762,2024-09-24 13:35:20,view,355,s000147
1644,2025-08-06 07:18:59,view,2,s000148
83,2025-08-08 21:22:24,wishlist,132,s000149
242,2025-03-04 08:06:26,remove_from_cart,24,s000150
2025,2024-08-27 14:00:28,view,239,s000151
638,2025-11-15 19:44:29,view,230,s000152
1762,2025-12-09 10:26:55,purchase,110,s000153
1211,2024-06-21 13:36:46,add_to_cart,92,s000154
97,2025-11-26 15:40:06,view,353,s000155
1668,2024-05-17 22:10:54,wishlist,237,s000156
142,2025-04-05 10:04:25,add_to_cart,74,s000157
951,2025-08-14 15:26:17,wishlist,295,s000158
517,2025-07-26 20:24:51,view,172,s000159
2099,2025-02-16 05:13:27,add_to_cart,81,s000160
1601,2024-04-02 10:50:44,view,356,s000161
757,2025-03-30 09:01:44,add_to_cart,202,s000162
1931,2025-11-28 07:50:49,add_to_cart,116,s000163
1770,2024-05-04 12:20:18,add_to_cart,197,s000164
1329,2025-10-07 08:10:40,wishlist,120,s000165
467,2025-01-04 23:17:14,view,355,s000166
683,2024-11-08 21:29:35,add_to_cart,257,s000167
1498,2024-03-12 09:33:02,wishlist,284,s000168
1856,2025-07-26 09:49:51,view,115,s000169
2286,2024-12-26 18:24:18,view,388,s000170
1525,2025-03-26 10:01:28,view,69,s000171
1425,2025-07-13 15:23:10,add_to_cart,341,s000172
1530,2025-08-24 16:56:51,view,19,s000173
380,2025-03-23 11:43:37,add_to_cart,65,s000174
2238,2024-07-04 08:59:20,add_to_cart,302,s000175
2445,2025-01-29 09:27:01,view,78,s000176
767,2025-11-08 06:05:30,purchase,172,s000177
2406,2024-05-25 22:04:55,add_to_cart,387,s000178
