product_id,product_name,category,price
1,Outdoor Food 5lb,Treats,49.49
2,Kitten Pads,Toys,69.34
3,Premium Brush,Pet Food,72.62
4,Adult Shampoo,Small Pet,127.42
5,Chicken Bowl,Pet Food,89.03
6,Grain-Free Pads,Aquarium,84.95
7,Grain-Free Brush,Toys,42.4
8,Senior Pads,Collars,23.44
9,Outdoor Biscuits,Toys,131.32
10,Outdoor Food 12lb,Supplies,21.58
11,Natural Biscuits,Small Pet,78.46
12,Weight Bed Medium,Pet Food,85.23
13,Beef Food 12lb,Wild Bird,148.83
14,Senior Food 5lb,Small Pet,127.5
15,Adult Food 12lb,Aquarium,39.02
16,Organic Food 24lb,Litter,69.34
17,Joint Food 24lb,Supplies,34.58
18,Sensitive Collar,Small Pet,65.31
19,Outdoor Bowl,Health,25.74
20,Kitten Collar,Grooming,146.38
21,Outdoor Collar,Collars,141.65
22,Puppy Food 5lb,Toys,58.39
23,Puppy Treats 12oz,Aquarium,8.69
24,Indoor Chews,Grooming,79.06
25,Joint Collar,Supplies,59.92
26,Sensitive Food 12lb,Small Pet,110.3
27,Wild Food 24lb,Treats,143.99
28,Beef Supplement 60ct,Aquarium,96.39
29,Hairball Treats 6oz,Litter,120.73
30,Indoor Shampoo,Small Pet,81.03
31,Weight Bed Medium,Health,33.27
32,Sensitive Litter 14lb,Supplies,52.65
33,Adult Pellets,Collars,50.64
34,Organic Pellets,Collars,111.25
35,Hairball Collar,Treats,56.03
36,Joint Food 24lb,Grooming,99.72
37,Indoor Pellets,Collars,119.0
38,Beef Treats 12oz,Litter,40.51
39,Hairball Treats 12oz,Aquarium,42.73
40,Puppy Bed Medium,Grooming,22.09
41,Hairball Bowl,Litter,147.56
42,Sensitive Shampoo,Small Pet,132.8
43,Chicken Biscuits,Collars,7.24
44,Organic Bowl,Health,115.99
45,Dental Treats 6oz,Toys,131.06
46,Hairball Food 5lb,Wild Bird,29.2
47,Grain-Free Treats 12oz,Litter,130.69
48,Wild Bowl,Grooming,23.47
49,Skin & Coat Pellets,Wild Bird,47.53
50,Kitten Bed Medium,Aquarium,93.26
51,Organic Food 12lb,Treats,112.11
52,Adult Brush,Beds,96.46
53,Hairball Litter 14lb,Collars,106.51
54,Salmon Supplement 60ct,Treats,27.07
55,Premium Collar,Small Pet,99.15
56,Wild Bed Medium,Collars,30.61
57,Sensitive Pads,Treats,38.67
58,Dental Bed Medium,Pet Food,86.79
59,Joint Supplement 60ct,Beds,46.35
60,Wild Bed Medium,Toys,143.25
61,Natural Chews,Beds,80.26
62,Sensitive Bed Medium,Treats,55.36
63,Salmon Treats 6oz,Health,44.7
64,Weight Pellets,Toys,46.82
65,Senior Treats 6oz,Supplies,101.62
66,Blue Treats 6oz,Supplies,85.05
67,Joint Biscuits,Pet Food,91.76
68,Natural Chews,Pet Food,75.8
69,Premium Collar,Supplies,45.86
70,Sensitive Bowl,Wild Bird,69.49
71,Blue Brush,Health,138.1
72,Organic Brush,Beds,76.51
73,Grain-Free Treats 12oz,Health,111.08
74,Organic Collar,Treats,112.91
75,Beef Food 24lb,Grooming,27.72
76,Kitten Pads,Collars,96.43
77,Joint Food 24lb,Wild Bird,104.74
78,Natural Bowl,Treats,140.18
