user_id,signup_date,country,region
1,2024-10-23,US,AK
2,2025-02-05,DE,IA
3,2023-08-19,US,WA
4,2023-04-16,US,WA
5,2025-07-11,CA,CO
6,2024-09-02,US,AZ
7,2023-01-31,US,IL
8,2023-08-29,CA,PA
9,2023-01-28,US,ID
10,2025-01-10,US,UT
11,2024-07-17,CA,GN
12,2024-04-09,US,KY
13,2025-04-16,US,AL
14,2025-02-23,US,GA
15,2024-12-22,US,MA
16,2023-10-15,US,IL
17,2025-09-16,CA,LU
18,2023-04-16,DE,MS
19,2023-04-11,US,LY
20,2024-09-16,US,AS
21,2023-02-14,US,NH
22,2024-07-08,US,MS
23,2023-03-23,US,LA
24,2025-05-07,US,RI
25,2025-07-04,AU,MN
26,2024-08-19,CA,VT
27,2023-03-13,US,TN
28,2023-08-24,AU,LA
29,2025-10-15,US,HT
30,2025-06-14,US,MS
31,2023-10-15,DE,SC
32,2025-05-12,US,DK
33,2024-01-18,US,IL
34,2024-11-23,CA,ME
35,2025-08-26,US,KH
36,2023-03-15,US,ZW
37,2023-06-26,US,VA
38,2023-09-11,US,PL
39,2024-01-28,US,SC
40,2024-12-12,US,IN
41,2024-12-08,US,MP
42,2025-03-05,US,AR
43,2023-08-25,US,AZ
44,2025-04-12,US,MO
45,2023-10-04,UK,IL
46,2025-08-02,US,OK
47,2025-06-25,US,MD
48,2023-08-08,US,SB
49,2024-02-14,UK,PW
50,2024-10-26,US,FL
51,2023-10-01,US,IA
52,2025-02-09,US,ND
53,2023-09-29,CA,OR
54,2024-03-19,US,OR
55,2024-02-17,AU,IN
56,2025-10-28,US,DC
57,2024-06-10,US,BW
58,2025-02-20,US,VI
59,2023-04-24,US,SC
60,2023-06-15,US,TX
61,2024-03-12,US,CA
62,2024-02-02,US,PA
63,2025-10-26,US,NC
64,2023-09-17,US,OH
65,2025-06-09,US,AL
66,2024-12-04,US,DE
67,2024-12-05,US,ND
68,2025-02-15,US,BA
69,2023-12-18,US,LA
70,2024-03-25,US,NH
71,2023-01-04,US,WS
72,2025-06-24,CA,KS
73,2025-10-01,AU,WV
74,2023-07-04,US,PW
75,2023-04-21,US,SC
76,2023-11-05,US,SC
77,2024-06-08,AU,ID
78,2023-06-08,US,WV
79,2023-06-17,AU,WI
80,2025-08-11,US,PW
81,2023-01-01,US,LI
82,2024-05-20,US,DE
83,2025-08-18,US,FM
84,2025-10-15,US,KP
85,2023-09-05,UK,IA
86,2025-06-26,US,CO
87,2023-03-30,US,NM
88,2025-04-23,US,PS
89,2024-07-04,US,DC
90,2023-05-13,US,NJ
91,2025-09-06,US,GA
92,2023-10-02,US,VI
93,2024-09-19,US,IL
94,2025-08-18,US,TW
95,2025-01-24,US,ID
96,2025-01-07,US,MO
97,2025-10-25,DE,SD
98,2024-01-22,US,MH
99,2024-06-19,US,DE
100,2023-09-14,US,BI
101,2023-12-16,US,OR
102,2024-07-26,CA,OR
103,2023-08-16,US,CA
104,2025-01-01,UK,AR
105,2023-08-25,US,MH
106,2023-02-02,US,MA
107,2023-03-15,US,IA
108,2023-10-15,US,NM
109,2023-08-10,US,DC
110,2025-01-17,US,FM
111,2024-08-13,DE,NJ
112,2023-09-09,US,PY
113,2025-04-14,UK,ID
114,2023-04-08,US,TN
115,2024-03-21,US,NO
116,2024-03-01,US,VI
117,2025-01-23,US,TX
118,2024-11-06,US,SD
119,2023-04-12,UK,MO
120,2025-01-22,CA,CD
121,2023-09-15,US,ID
122,2024-07-08,US,DC
123,2024-03-12,US,KY
124,2024-04-23,US,VI
125,2025-08-12,US,NV
126,2025-04-15,US,PR
127,2024-07-23,US,AR
128,2024-11-05,US,SR
129,2025-05-14,US,BW
130,2025-08-15,AU,PR
131,2023-09-02,UK,MT
132,2024-05-17,US,GH
133,2025-06-13,US,MH
134,2023-03-02,CA,MS
135,2023-01-03,DE,MS
136,2023-10-02,AU,WY
137,2025-03-22,US,LA
138,2024-03-13,CA,VA
139,2025-10-26,US,OH
140,2024-11-15,US,NM
141,2023-06-10,US,KE
142,2023-08-14,US,BG
143,2024-08-21,US,ND
144,2023-03-05,US,KW
145,2023-03-01,UK,OR
146,2024-05-07,US,PW
147,2025-05-31,US,GA
148,2023-02-28,US,NY
149,2023-03-24,US,HI
150,2023-03-12,US,CA
151,2024-11-29,US,IA
152,2024-02-22,US,FM
153,2024-08-12,US,OR
154,2024-09-06,US,RI
155,2023-03-26,US,TN
156,2024-08-26,US,NC
157,2023-11-24,US,KS
158,2023-07-31,US,VT
159,2023-11-21,US,KS
160,2024-02-14,UK,TN
161,2024-10-29,US,NH
162,2023-11-23,CA,WV
163,2025-08-25,US,AL
164,2024-04-18,AU,OK
165,2025-10-26,CA,CA
166,2024-07-09,US,SD
167,2023-10-02,US,MI
168,2025-06-29,US,FM
169,2023-09-10,US,LA
170,2023-06-13,US,MP
171,2024-07-15,UK,ME
172,2024-09-24,CA,AS
173,2024-11-07,US,AL
174,2024-11-21,US,OH
175,2023-11-06,CA,HR
176,2023-04-18,US,FM
177,2023-05-19,US,DE
178,2025-07-08,US,WA
179,2024-07-26,UK,KY
180,2023-10-19,CA,IL
181,2025-01-12,US,IL
182,2024-12-11,US,PR
183,2023-09-30,US,NM
184,2023-09-17,US,PW
185,2025-05-24,US,CO
186,2024-10-17,AU,MP
187,2023-10-14,UK,AL
188,2023-12-11,US,DC
189,2024-10-20,US,KS
190,2023-06-17,US,NV
191,2024-07-24,US,NE
192,2024-08-02,US,CG
193,2023-03-19,UK,FM
194,2024-12-15,US,CZ
195,2024-07-18,US,MP
196,2024-01-17,UK,TG
197,2023-06-03,US,CN
198,2023-02-13,US,MN
199,2025-07-18,UK,WY
200,2025-10-02,CA,AZ
201,2025-07-18,AU,IL
202,2024-12-06,US,TN
203,2023-04-17,US,TJ
204,2025-07-03,US,MT
205,2025-10-03,UK,AE
206,2023-06-09,US,IA
207,2025-06-13,US,AS
208,2025-04-18,US,FM
209,2024-03-02,US,EE
210,2025-01-31,US,MA
211,2025-03-19,US,MT
212,2025-04-09,AU,VI
213,2025-01-30,US,IA
214,2023-10-03,US,WY
215,2024-12-26,US,MS
216,2025-06-20,US,PR
217,2024-05-01,US,ID
218,2025-04-24,US,PK
219,2023-12-28,US,GU
220,2025-04-02,US,IN
221,2023-08-19,US,TN
222,2023-07-19,US,MA
223,2023-10-16,AU,CA
224,2025-09-26,US,KY
225,2023-12-30,US,SE
226,2024-02-18,US,MP
227,2024-07-08,US,AK
228,2023-04-30,US,IL
229,2023-07-04,US,KS
230,2023-02-09,US,PA
231,2024-03-25,US,ZA
232,2025-03-24,UK,NE
233,2024-09-18,US,SE
234,2023-04-30,US,TR
235,2023-07-16,AU,BD
236,2025-01-02,CA,AL
237,2024-06-21,US,AS
238,2024-07-10,AU,VA
239,2025-08-30,UK,WA
240,2024-11-24,US,MM
241,2024-03-21,US,TN
242,2025-08-10,US,RI
243,2023-11-21,US,CM
244,2025-01-14,US,ME
245,2024-06-08,UK,TN
246,2024-02-27,US,MO
247,2024-12-21,US,TG
248,2023-05-12,US,MT
249,2024-11-18,CA,MS
250,2024-12-01,AU,MH
251,2023-06-29,US,OK
252,2023-11-08,US,SY
253,2025-05-12,DE,ME
254,2023-10-24,US,NE
255,2025-03-23,US,PA
256,2024-11-07,US,NH
257,2024-04-01,US,TX
258,2023-08-09,US,NJ
259,2025-03-31,US,LK
260,2023-06-25,US,CO
261,2023-10-21,US,TN
262,2024-10-16,DE,MA
263,2023-04-07,US,WV
264,2023-08-31,US,ME
265,2023-08-21,US,FJ
266,2023-06-02,US,AZ
267,2023-09-11,US,NJ
268,2024-09-24,US,WI
269,2023-03-17,DE,MT
270,2025-07-05,US,OK
271,2023-07-21,US,UT
272,2024-02-02,US,MO
273,2023-09-10,US,TD
274,2024-12-12,US,MH
275,2025-02-15,US,CD
276,2025-03-15,US,GN
277,2023-07-01,US,UT
278,2024-06-19,US,AR
279,2024-07-30,CA,CM
280,2024-04-16,US,AS
281,2024-04-25,AU,NC
282,2025-10-18,US,PA
283,2023-11-25,AU,WV
284,2025-07-10,CA,RI
285,2025-04-22,US,MH
286,2024-06-05,US,MP
287,2025-07-26,US,NV
288,2025-07-16,AU,WA
289,2025-06-09,US,NV
290,2023-09-26,US,IA
291,2025-05-18,US,IS
292,2025-03-02,UK,NC
293,2024-05-16,UK,IA
294,2023-10-11,US,CA
295,2025-01-07,CA,IA
296,2023-10-08,US,LB
297,2025-07-12,US,CO
298,2023-05-24,US,IN
299,2024-02-01,US,DE
300,2024-12-31,US,CA
301,2024-03-04,US,MA
302,2024-07-15,AU,MT
303,2023-03-06,US,MP
304,2024-03-10,AU,MH
305,2025-03-06,US,UT
306,2023-01-21,US,FM
307,2025-03-02,US,MS
308,2024-05-08,AU,MI
309,2023-11-05,US,MW
310,2025-06-01,DE,MP
311,2024-03-09,US,AE
312,2025-01-29,UK,UY
313,2025-07-17,US,NM
314,2023-08-15,US,NE
315,2024-05-17,CA,MS
316,2023-12-14,US,TX
317,2025-04-05,US,RS
318,2023-06-20,US,NH
319,2025-08-08,US,RI
320,2024-07-06,US,PW
321,2024-02-12,US,OK
322,2024-11-16,DE,CO
323,2024-10-26,US,DC
324,2025-06-15,US,HI
325,2023-02-21,UK,MS
326,2023-12-05,UK,NH
327,2023-12-04,US,WV
328,2025-06-28,CA,IT
329,2025-02-16,US,MP
330,2024-03-11,US,MP
331,2023-03-26,US,AM
332,2025-02-13,US,BF
333,2025-10-30,US,MI
334,2023-08-20,US,CA
335,2025-03-18,US,SD
336,2023-02-11,US,AK
337,2025-09-08,US,ID
338,2025-05-17,US,RI
339,2023-06-07,US,DC
340,2024-05-04,US,DE
341,2024-08-06,US,IL
342,2024-04-25,US,IE
343,2025-03-03,US,DM
344,2024-09-18,US,AE
345,2025-01-12,CA,WI
346,2025-04-27,US,ME
347,2023-04-22,US,AK
348,2025-08-18,US,OK
349,2024-12-01,US,MS
350,2024-02-15,US,VT
351,2023-07-25,US,UA
352,2024-12-15,US,SC
353,2023-09-09,US,UT
354,2025-03-09,US,PR
355,2024-12-08,US,AS
356,2023-05-06,US,TM
357,2025-03-20,US,MI
358,2024-07-04,US,TN
359,2024-01-19,US,NY
360,2024-10-31,UK,AL
361,2025-05-28,CA,GU
362,2024-05-21,AU,NE
363,2025-09-20,US,SC
364,2025-07-10,US,NH
365,2025-01-01,US,NE
366,2023-07-02,US,NC
367,2025-09-25,US,KY
368,2024-09-28,US,SO
369,2025-03-11,US,NH
370,2024-03-26,AU,VA
371,2024-09-04,US,MD
372,2025-05-30,US,MP
373,2025-08-24,AU,KY
374,2025-06-30,US,IA
375,2025-02-14,US,OK
376,2024-09-23,US,MS
377,2023-12-14,US,SA
378,2025-05-29,UK,HI
379,2024-05-19,CA,MH
380,2025-04-04,US,MA
381,2023-10-17,US,PA
382,2024-12-26,US,KY
383,2024-07-28,US,NC
384,2025-09-07,US,BS
385,2023-09-07,US,MT
386,2024-05-20,US,WV
387,2023-09-06,US,NJ
388,2024-10-29,UK,NM
389,2024-04-08,AU,AK
390,2023-04-07,US,IN
391,2024-02-23,US,IA
392,2023-11-13,UK,OR
393,2024-01-17,US,OH
394,2024-07-02,US,NO
395,2025-10-27,US,OH
396,2023-12-09,CA,UT
397,2024-04-14,US,ME
398,2023-09-17,US,DE
