credit_check_id,application_id,check_time,result,score
CC200000,APP100000,2025-10-05 16:57:00,approved,722
CC200001,APP100001,2026-01-18 03:08:00,denied,692
CC200002,APP100002,2025-11-11 01:17:00,approved,543
CC200003,APP100003,2026-01-12 04:44:00,denied,750
CC200004,APP100004,2025-08-31 07:09:00,denied,471
CC200005,APP100005,2026-01-27 10:53:00,denied,515
CC200006,APP100006,2025-09-30 21:25:00,approved,653
CC200007,APP100007,2025-12-01 04:36:00,denied,355
CC200008,APP100008,2026-01-06 08:40:00,approved,570
CC200009,APP100009,2025-11-12 12:28:00,approved,418
CC200010,APP100010,2025-08-17 20:50:00,approved,353
CC200011,APP100011,2025-08-21 12:32:00,approved,471
CC200012,APP100012,2025-10-08 22:59:00,approved,775
CC200013,APP100013,2025-10-31 14:31:00,approved,708
CC200014,APP100014,2025-10-20 18:00:00,approved,787
CC200015,APP100015,2025-08-21 23:29:00,approved,608
CC200016,APP100016,2026-01-07 21:44:00,denied,787
CC200017,APP100017,2025-10-28 02:50:00,approved,845
CC200018,APP100018,2025-12-12 12:13:00,approved,539
CC200019,APP100019,2025-11-15 06:31:00,approved,688
CC200020,APP100020,2025-10-05 10:53:00,manual_review,699
CC200021,APP100021,2025-10-09 10:35:00,approved,785
CC200022,APP100022,2025-12-23 04:36:00,manual_review,568
CC200023,APP100023,2025-11-30 10:57:00,approved,448
CC200024,APP100024,2026-01-19 01:02:00,approved,843
CC200025,APP100025,2025-08-23 20:50:00,approved,745
CC200026,APP100026,2025-11-23 00:07:00,approved,312
CC200027,APP100027,2025-09-07 14:29:00,approved,595
CC200028,APP100028,2025-07-29 13:12:00,approved,759
CC200029,APP100029,2026-01-21 04:56:00,approved,691
CC200030,APP100030,2026-01-11 09:10:00,approved,623
CC200031,APP100031,2025-10-07 02:41:00,denied,842
CC200032,APP100032,2025-10-29 08:05:00,approved,342
CC200033,APP100033,2025-11-01 21:57:00,approved,399
CC200034,APP100034,2026-01-11 05:03:00,denied,844
CC200035,APP100035,2025-11-07 20:19:00,approved,662
CC200036,APP100036,2026-01-24 07:27:00,approved,742
CC200037,APP100037,2026-01-12 02:45:00,denied,579
CC200038,APP100038,2025-08-22 00:13:00,approved,643
CC200039,APP100039,2025-11-28 02:08:00,approved,576
CC200040,APP100040,2025-12-27 07:33:00,approved,573
CC200041,APP100041,2026-01-19 14:00:00,approved,400
CC200042,APP100042,2025-07-31 22:21:00,approved,561
CC200043,APP100043,2025-08-28 13:44:00,denied,700
CC200044,APP100044,2025-08-31 15:04:00,approved,772
CC200045,APP100045,2025-09-25 12:05:00,approved,547
CC200046,APP100046,2025-08-24 03:20:00,approved,499
CC200047,APP100047,2025-10-31 09:08:00,manual_review,832
CC200048,APP100048,2025-11-03 04:41:00,denied,645
CC200049,APP100049,2026-01-18 04:04:00,approved,484
CC200050,APP100050,2025-12-11 18:00:00,manual_review,620
CC200051,APP100051,2026-01-01 20:10:00,approved,310
CC200052,APP100052,2025-11-18 11:46:00,manual_review,308
CC200053,APP100053,2025-09-21 20:47:00,approved,369
CC200054,APP100054,2025-09-05 13:39:00,denied,312
CC200055,APP100055,2026-01-20 14:55:00,approved,721
CC200056,APP100056,2025-09-22 02:57:00,denied,400
CC200057,APP100057,2025-08-23 04:48:00,approved,837
CC200058,APP100058,2025-08-29 18:46:00,approved,406
CC200059,APP100059,2025-11-04 11:27:00,manual_review,756
CC200060,APP100060,2025-10-17 04:15:00,manual_review,659
CC200061,APP100061,2025-10-07 20:05:00,approved,524
CC200062,APP100062,2025-09-30 17:38:00,denied,590
CC200063,APP100063,2025-12-29 23:38:00,denied,557
CC200064,APP100064,2025-10-09 22:01:00,approved,497
CC200065,APP100065,2026-01-13 09:13:00,approved,334
CC200066,APP100066,2025-12-08 19:32:00,approved,324
CC200067,APP100067,2025-09-15 23:25:00,approved,394
CC200068,APP100068,2025-10-12 20:03:00,approved,358
CC200069,APP100069,2025-09-28 15:24:00,approved,522
CC200070,APP100070,2025-08-26 07:31:00,denied,424
CC200071,APP100071,2026-01-08 19:04:00,manual_review,422
CC200072,APP100072,2025-12-11 00:23:00,approved,388
CC200073,APP100073,2025-10-18 04:24:00,approved,433
CC200074,APP100074,2025-12-21 13:23:00,approved,684
CC200075,APP100075,2025-12-15 21:11:00,denied,489
CC200076,APP100076,2025-11-26 02:01:00,approved,413
CC200077,APP100077,2025-12-26 02:00:00,approved,488
CC200078,APP100078,2025-10-04 06:02:00,approved,559
CC200079,APP100079,2025-08-13 12:32:00,manual_review,601
CC200080,APP100080,2025-10-10 20:45:00,approved,778
CC200081,APP100081,2025-12-04 13:27:00,denied,377
CC200082,APP100082,2026-01-24 12:05:00,denied,764
