loan_id,application_id,amount,funded_date,term_months
LN300000,APP100000,8401,2025-12-07 03:32:00,36
LN300001,APP100002,21465,2025-11-14 13:06:00,12
LN300002,APP100006,4013,2025-11-24 21:46:00,48
LN300003,APP100008,24517,2025-12-21 08:22:00,48
LN300004,APP100009,19946,2025-10-02 18:05:00,24
LN300005,APP100010,4104,2025-12-04 00:07:00,12
LN300006,APP100011,20394,2026-01-14 14:11:00,24
LN300007,APP100012,12037,2025-09-13 12:02:00,12
LN300008,APP100013,9957,2025-08-19 13:56:00,12
LN300009,APP100014,3204,2026-01-25 09:20:00,36
LN300010,APP100015,19560,2025-12-26 23:29:00,24
LN300011,APP100017,18401,2026-01-16 14:39:00,48
LN300012,APP100018,16573,2025-10-04 10:58:00,24
LN300013,APP100019,14995,2025-09-14 06:11:00,12
LN300014,APP100021,7872,2025-08-18 23:38:00,12
LN300015,APP100023,12380,2025-10-03 21:06:00,24
LN300016,APP100024,3512,2025-11-17 17:01:00,36
LN300017,APP100025,22349,2025-07-30 12:07:00,48
LN300018,APP100026,10890,2025-08-01 05:41:00,36
LN300019,APP100027,17536,2025-11-28 14:44:00,24
LN300020,APP100028,10827,2025-11-09 21:47:00,24
LN300021,APP100029,15185,2025-12-30 23:31:00,48
LN300022,APP100030,22740,2025-10-14 19:52:00,24
LN300023,APP100032,18693,2026-01-02 11:44:00,12
LN300024,APP100033,11267,2026-01-17 22:43:00,24
LN300025,APP100035,7556,2025-11-07 09:05:00,48
LN300026,APP100036,14576,2025-08-30 04:00:00,36
LN300027,APP100038,14182,2025-09-15 03:52:00,24
LN300028,APP100039,9233,2025-08-02 22:12:00,36
LN300029,APP100040,21478,2025-08-04 06:30:00,36
LN300030,APP100041,17887,2026-01-11 04:41:00,12
LN300031,APP100042,15851,2025-09-28 13:53:00,48
LN300032,APP100044,23005,2026-01-05 17:12:00,36
LN300033,APP100045,18942,2025-08-20 09:49:00,12
LN300034,APP100046,6917,2025-11-24 04:30:00,24
LN300035,APP100049,1609,2025-11-14 00:07:00,36
LN300036,APP100051,21573,2025-09-09 04:47:00,36
LN300037,APP100053,24046,2026-01-24 14:31:00,24
LN300038,APP100055,17915,2025-11-26 00:55:00,24
LN300039,APP100057,7112,2025-11-21 18:15:00,12
LN300040,APP100058,19902,2025-09-18 09:36:00,24
LN300041,APP100061,17357,2025-11-06 01:21:00,24
LN300042,APP100064,7978,2025-07-31 03:40:00,48
LN300043,APP100065,22653,2026-01-27 13:26:00,36
LN300044,APP100066,16312,2025-12-02 23:37:00,24
LN300045,APP100067,9779,2025-12-28 23:35:00,48
LN300046,APP100068,21903,2025-10-11 01:31:00,12
LN300047,APP100069,18456,2025-11-08 15:32:00,12
LN300048,APP100072,21133,2025-12-27 23:39:00,48
LN300049,APP100073,15212,2026-01-18 15:14:00,12
LN300050,APP100074,19550,2026-01-27 01:33:00,24
LN300051,APP100076,24809,2025-08-02 13:36:00,12
LN300052,APP100077,21537,2025-10-17 17:04:00,24
LN300053,APP100078,2962,2025-10-05 20:26:00,24
LN300054,APP100080,18113,2025-11-27 03:31:00,24
LN300055,APP100083,7574,2026-01-04 20:22:00,12
LN300056,APP100085,12936,2025-11-20 22:27:00,24
LN300057,APP100086,16154,2025-08-03 05:18:00,24
LN300058,APP100088,5841,2025-09-16 15:22:00,24
LN300059,APP100091,8876,2025-11-18 07:32:00,12
LN300060,APP100092,5930,2025-09-23 18:58:00,48
LN300061,APP100093,23456,2026-01-20 10:58:00,48
LN300062,APP100094,10839,2025-12-30 22:42:00,36
LN300063,APP100095,15266,2025-11-25 04:56:00,24
LN300064,APP100096,14443,2025-10-12 23:45:00,24
LN300065,APP100097,11441,2025-11-05 13:53:00,24
LN300066,APP100098,3111,2026-01-17 20:47:00,48
LN300067,APP100100,21772,2025-10-29 15:51:00,24
LN300068,APP100103,7670,2025-09-08 19:13:00,24
LN300069,APP100104,14514,2025-10-09 22:47:00,36
LN300070,APP100106,9746,2025-08-20 21:30:00,36
LN300071,APP100107,10405,2025-08-31 05:12:00,48
LN300072,APP100109,22169,2025-09-07 19:31:00,24
LN300073,APP100110,6262,2025-08-23 13:31:00,36
LN300074,APP100111,9403,2025-10-14 07:13:00,48
LN300075,APP100112,23506,2025-12-18 01:01:00,12
LN300076,APP100113,20701,2025-10-28 08:22:00,36
LN300077,APP100114,8737,2026-01-18 05:11:00,48
LN300078,APP100115,14299,2025-12-04 01:51:00,48
LN300079,APP100117,8814,2025-08-14 10:27:00,24
LN300080,APP100119,4721,2025-08-27 19:14:00,48
LN300081,APP100120,5913,2025-08-28 17:14:00,48
LN300082,APP100121,7288,2025-11-30 08:21:00,48
LN300083,APP100123,1907,2025-10-27 01:49:00,48
LN300084,APP100124,9047,2025-12-18 08:57:00,24
LN300085,APP100126,11175,2025-09-05 22:55:00,48
LN300086,APP100130,16209,2025-12-07 19:42:00,12
LN300087,APP100132,16905,2025-08-24 22:03:00,48
LN300088,APP100133,19344,2025-11-18 14:53:00,48
LN300089,APP100136,15291,2025-08-26 03:50:00,12
LN300090,APP100139,14828,2026-01-01 19:50:00,36
LN300091,APP100140,22198,2025-08-24 17:02:00,24
LN300092,APP100141,2212,2025-12-05 03:10:00,24
LN300093,APP100142,7618,2026-01-06 03:55:00,36
LN300094,APP100143,6221,2025-09-19 11:10:00,48
LN300095,APP100145,9936,2025-10-11 22:28:00,48
LN300096,APP100147,5470,2025-12-05 15:46:00,36
LN300097,APP100148,1954,2025-08-23 04:41:00,48
