credit_check_id,application_id,check_time,result,score
CC200000,APP100955,2025-11-08 02:29:18.777888,approved,482
CC200001,APP100575,2025-09-13 16:40:55.496190,approved,815
CC200002,APP100712,2025-09-23 10:10:48.110718,approved,630
CC200003,APP100278,2025-09-30 08:40:38.781886,approved,418
CC200004,APP100140,2025-12-05 19:27:51.079681,approved,660
CC200005,APP100111,2025-12-11 09:12:54.768780,approved,791
CC200006,APP100630,2026-01-02 07:40:30.875480,approved,727
CC200007,APP100758,2025-11-27 07:23:35.022269,approved,846
CC200008,APP100600,2025-12-13 14:20:50.947702,manual_review,592
CC200009,APP100245,2025-10-19 04:09:46.723196,manual_review,732
CC200010,APP100248,2025-12-04 16:09:33.585030,approved,313
CC200011,APP100051,2025-08-27 18:29:14.063277,approved,835
CC200012,APP100685,2025-09-06 11:02:49.750916,approved,409
CC200013,APP100926,2025-10-10 16:52:37.065994,approved,325
CC200014,APP100543,2025-09-29 06:32:29.505487,denied,690
CC200015,APP100231,2025-11-07 07:20:40.429174,denied,448
CC200016,APP100653,2025-12-04 06:12:19.860938,denied,354
CC200017,APP100238,2025-12-06 01:11:03.647332,manual_review,357
CC200018,APP100053,2025-08-27 13:49:08.573996,approved,504
CC200019,APP100102,2026-01-22 11:32:32.028252,approved,573
CC200020,APP100423,2025-07-29 23:21:48.374694,approved,464
CC200021,APP100338,2025-08-14 18:14:49.876793,approved,593
CC200022,APP100734,2025-08-24 17:46:13.341542,denied,556
CC200023,APP100483,2026-01-15 08:36:20.357695,approved,449
CC200024,APP100102,2025-10-17 02:37:36.303546,approved,363
CC200025,APP100697,2025-08-09 18:58:45.463177,denied,602
CC200026,APP100789,2025-09-07 19:20:14.640863,approved,508
CC200027,APP100140,2025-08-12 17:27:19.718095,approved,333
CC200028,APP100005,2025-08-04 22:43:39.265921,approved,667
CC200029,APP100987,2025-10-07 17:11:01.183349,denied,763
CC200030,APP100563,2026-01-26 03:19:22.124596,approved,404
CC200031,APP100951,2025-11-18 23:16:19.374978,approved,529
CC200032,APP100161,2025-11-01 20:45:37.723903,approved,698
CC200033,APP100416,2025-12-06 22:27:04.870177,approved,543
CC200034,APP100668,2025-11-15 22:26:19.830491,denied,823
CC200035,APP100957,2026-01-19 00:16:52.421686,approved,594
CC200036,APP100901,2025-12-26 22:07:48.328446,denied,348
CC200037,APP100899,2025-11-23 19:31:35.201874,approved,690
CC200038,APP100487,2025-10-17 18:30:02.038889,approved,696
CC200039,APP100488,2025-09-04 02:44:21.063233,approved,726
CC200040,APP100666,2025-11-26 20:48:02.618904,approved,620
CC200041,APP100204,2025-12-23 22:03:58.171153,approved,355
CC200042,APP100774,2025-09-19 15:00:17.120540,manual_review,313
CC200043,APP100987,2025-08-04 04:25:08.024757,approved,557
CC200044,APP100294,2025-11-16 07:27:28.279200,denied,507
CC200045,APP100328,2025-10-31 21:49:58.788974,denied,753
CC200046,APP100292,2025-09-09 15:03:32.457472,approved,530
CC200047,APP100661,2025-08-29 04:26:11.220888,approved,676
CC200048,APP100060,2025-08-04 15:14:45.470276,approved,501
CC200049,APP100929,2025-09-11 00:33:26.126168,denied,498
CC200050,APP100787,2025-07-29 01:16:06.933036,denied,601
