loan_id,application_id,amount,funded_date,term_months
LN300000,APP100808,18713,2025-11-06 23:52:36.347669,48
LN300001,APP100713,15537,2025-08-07 18:36:36.742158,48
LN300002,APP100632,2662,2025-12-05 10:00:42.528492,12
LN300003,APP100277,5262,2025-12-27 00:26:47.401995,12
LN300004,APP100054,1950,2025-10-03 02:25:27.438759,36
LN300005,APP100476,16425,2026-01-03 11:16:13.655558,12
LN300006,APP100670,23134,2026-01-04 06:50:28.594468,36
LN300007,APP100967,2653,2025-09-10 06:49:30.031566,12
LN300008,APP100008,4471,2025-12-05 05:00:42.595576,48
LN300009,APP100068,13569,2025-10-09 13:05:20.102359,12
LN300010,APP100397,2762,2025-09-25 12:51:00.717394,24
LN300011,APP100676,3821,2025-10-07 10:23:56.180906,48
LN300012,APP100996,14974,2025-10-07 04:59:28.460703,24
LN300013,APP100678,13842,2025-11-06 07:14:40.443604,24
LN300014,APP100872,6864,2025-11-27 21:32:42.238824,12
LN300015,APP100934,24090,2025-10-24 09:01:55.774605,12
LN300016,APP100675,20533,2025-09-01 15:12:34.981025,24
LN300017,APP100368,20423,2025-10-07 18:22:18.389150,48
LN300018,APP100885,21626,2026-01-15 02:30:45.723484,12
LN300019,APP100110,23614,2025-12-30 13:16:30.808507,48
LN300020,APP100019,23916,2025-08-26 09:14:39.683712,12
LN300021,APP100299,15609,2026-01-28 12:45:57.189363,24
LN300022,APP100888,21195,2025-11-29 07:00:42.543977,24
LN300023,APP100904,12653,2025-08-22 16:58:09.159623,12
LN300024,APP100664,11238,2025-08-11 04:49:49.154558,24
LN300025,APP100395,11889,2025-07-31 21:21:56.311344,12
LN300026,APP100236,7492,2025-12-08 17:26:02.580398,36
LN300027,APP100389,24360,2025-10-26 13:16:23.174052,12
LN300028,APP100520,22983,2025-10-17 08:37:20.176289,48
LN300029,APP100726,18481,2026-01-27 04:48:03.985580,24
LN300030,APP100101,3573,2025-08-13 13:52:25.571940,12
LN300031,APP100925,16259,2025-11-24 04:08:40.720385,12
LN300032,APP100323,19605,2025-10-13 12:25:03.860694,12
LN300033,APP100496,5318,2025-10-20 21:49:21.135848,48
LN300034,APP100887,4044,2025-12-21 03:54:28.521850,24
LN300035,APP100611,23891,2025-11-17 05:09:38.621049,12
LN300036,APP100544,16344,2025-10-15 07:54:34.627883,24
LN300037,APP100090,4187,2025-08-31 01:59:06.782146,48
LN300038,APP100190,15928,2025-10-30 17:34:34.543644,36
LN300039,APP100203,11170,2025-11-07 13:51:10.562985,48
LN300040,APP100512,23428,2025-10-19 19:24:07.590429,36
LN300041,APP100468,22116,2025-10-02 09:02:12.228314,12
LN300042,APP100574,24272,2025-09-01 04:27:11.537205,24
LN300043,APP100948,16250,2025-11-17 05:47:43.815615,36
LN300044,APP100729,16418,2025-11-12 08:10:35.109969,24
LN300045,APP100022,8592,2025-12-31 19:29:09.468784,12
LN300046,APP100040,8333,2025-09-10 13:29:16.279799,24
LN300047,APP100253,5709,2025-10-29 07:38:03.849183,36
LN300048,APP100944,21215,2025-10-12 14:15:35.226516,12
LN300049,APP100542,9455,2025-11-06 11:52:12.740767,12
LN300050,APP100312,12909,2025-10-04 12:32:22.673450,36
LN300051,APP100341,13847,2026-01-24 23:52:44.085868,24
LN300052,APP100501,7008,2025-11-10 12:56:54.726469,48
LN300053,APP100402,23924,2025-12-05 16:45:40.708520,24
LN300054,APP100762,22796,2025-08-18 19:44:01.882390,36
LN300055,APP100160,11824,2025-10-25 14:26:57.569206,24
LN300056,APP100018,11641,2025-12-03 01:14:09.317878,48
LN300057,APP100355,15853,2025-08-24 03:27:29.920548,24
LN300058,APP100700,16974,2025-12-10 13:23:26.506329,12
LN300059,APP100360,1991,2026-01-25 23:29:07.070438,24
LN300060,APP100363,3141,2026-01-25 23:52:46.400168,12
LN300061,APP100640,16575,2025-12-19 07:29:20.806755,48
LN300062,APP100309,4699,2025-10-22 13:09:31.757131,24
LN300063,APP100241,12516,2025-08-12 09:29:02.407800,12
LN300064,APP100513,16684,2026-01-08 17:52:00.307894,48
LN300065,APP100282,16113,2025-08-14 06:34:44.705408,12
LN300066,APP100831,6596,2025-10-23 22:20:46.116570,12
LN300067,APP100063,10249,2025-12-12 11:17:09.113041,12
LN300068,APP100938,12423,2026-01-21 17:10:30.660109,24
LN300069,APP100263,20806,2025-08-12 08:48:35.105783,12
LN300070,APP100899,19831,2025-11-22 14:21:53.009041,36
LN300071,APP100396,5174,2025-12-22 20:24:06.590414,48
LN300072,APP100911,17644,2025-09-24 11:59:55.571651,48
LN300073,APP100834,4372,2025-08-07 17:03:04.268785,24
LN300074,APP100030,14293,2025-09-30 05:05:59.608127,24
LN300075,APP100568,24405,2025-12-19 05:58:32.953510,24
LN300076,APP100286,4505,2025-10-23 06:31:28.799277,36
LN300077,APP100230,11678,2025-10-31 07:55:13.063747,48
LN300078,APP100155,19223,2025-10-23 08:07:48.876921,48
LN300079,APP100349,22281,2025-12-11 00:31:30.149473,24
LN300080,APP100918,3324,2025-10-14 11:12:25.665009,24
LN300081,APP100946,10899,2026-01-21 17:55:37.314260,12
LN300082,APP100672,18457,2025-12-22 20:57:13.494178,24
LN300083,APP100140,16105,2025-09-20 05:08:40.146946,48
LN300084,APP100089,14133,2025-08-04 12:00:02.435804,12
LN300085,APP100747,20350,2026-01-14 19:22:10.930544,36
LN300086,APP100391,14547,2025-12-13 21:27:43.321462,36
LN300087,APP100533,8817,2025-12-09 18:18:25.521869,48
LN300088,APP100694,21344,2025-11-09 17:19:36.850268,12
LN300089,APP100627,8985,2025-08-09 07:13:15.031508,24
LN300090,APP100893,18955,2025-10-24 01:28:36.872792,24
LN300091,APP100931,6210,2025-08-29 02:39:14.140996,12
LN300092,APP100702,16806,2025-08-07 11:57:12.280459,12
LN300093,APP100232,13576,2026-01-27 05:27:03.911701,36
LN300094,APP100427,3164,2025-12-24 20:05:01.547034,24
LN300095,APP100246,12164,2025-11-20 20:59:02.026320,48
LN300096,APP100586,7823,2025-09-19 18:34:40.546958,24
LN300097,APP100156,23742,2025-08-13 04:21:53.627959,36
LN300098,APP100436,20364,2025-10-30 00:42:44.707323,12
LN300099,APP100319,15127,2026-01-01 15:58:56.102622,24
LN300100,APP100619,15265,2025-09-18 02:58:49.034142,12
LN300101,APP100337,19586,2025-08-22 09:17:28.235590,24
LN300102,APP100459,12213,2025-09-18 16:46:19.377920,48
LN300103,APP100555,18843,2026-01-02 20:18:09.446749,48
LN300104,APP100134,23745,2025-07-31 14:43:13.772779,24
LN300105,APP100211,8738,2025-08-18 12:36:07.809672,24
LN300106,APP100668,6671,2025-08-30 03:05:41.104544,12
LN300107,APP100141,22712,2025-11-14 21:15:24.746685,12
LN300108,APP100594,22941,2025-08-25 19:24:53.528621,36
LN300109,APP100554,3552,2025-10-19 04:25:13.398480,36
LN300110,APP100941,24327,2025-12-24 15:25:28.174386,24
LN300111,APP100819,19815,2025-09-15 01:41:29.141455,48
LN300112,APP100207,16945,2025-12-04 22:37:18.614212,36
LN300113,APP100883,4746,2025-10-26 05:24:00.564209,36
LN300114,APP100892,20404,2025-12-23 02:01:36.409132,48
LN300115,APP100316,20532,2026-01-03 14:39:20.571012,12
LN300116,APP100705,16168,2025-09-30 02:01:00.290739,12
LN300117,APP100722,11661,2025-08-13 12:43:00.741257,12
LN300118,APP100536,19189,2025-08-24 16:37:48.834845,24
LN300119,APP100138,4199,2026-01-16 20:17:14.029253,24
LN300120,APP100440,15588,2025-08-26 08:43:39.785721,12
LN300121,APP100788,6772,2025-10-28 06:06:27.305730,48
LN300122,APP100148,11093,2026-01-27 19:40:26.032722,12
LN300123,APP100671,14297,2025-12-17 17:56:38.964681,12
LN300124,APP100578,3280,2025-09-10 18:46:33.207984,24
LN300125,APP100161,20603,2025-10-17 23:51:25.189408,48
LN300126,APP100325,4563,2025-11-23 07:31:47.018067,36
LN300127,APP100069,23462,2025-09-05 19:08:36.228445,48
LN300128,APP100570,20543,2025-12-11 02:56:19.197269,24
LN300129,APP100545,13416,2025-09-30 11:51:15.757739,36
LN300130,APP100736,11728,2025-11-24 04:13:30.020674,24
LN300131,APP100121,17197,2025-12-15 00:13:01.348596,12
LN300132,APP100188,22135,2025-08-19 08:13:52.007717,36
LN300133,APP100873,22632,2025-08-28 20:07:24.067412,24
LN300134,APP100859,3014,2025-10-10 08:51:25.376118,12
LN300135,APP100149,3966,2025-09-22 10:50:14.085152,24
LN300136,APP100744,8130,2025-12-13 07:00:02.910397,48
LN300137,APP100968,5552,2025-12-14 10:43:17.036905,24
LN300138,APP100783,20030,2025-11-03 23:36:43.184720,48
LN300139,APP100326,21844,2025-10-06 21:12:01.105091,24
LN300140,APP100423,1006,2025-12-05 19:57:50.634124,12
LN300141,APP100421,5807,2025-10-24 07:47:15.319155,48
LN300142,APP100310,22655,2025-08-24 16:58:53.952600,48
LN300143,APP100453,5889,2026-01-05 03:08:47.333445,12
LN300144,APP100763,15843,2025-07-31 04:23:13.866222,48
LN300145,APP100841,18408,2026-01-15 14:36:52.830187,24
LN300146,APP100652,10551,2025-10-19 13:59:30.746083,24
LN300147,APP100756,13778,2025-11-30 20:13:36.759308,48
LN300148,APP100280,21171,2026-01-21 23:08:39.062097,24
LN300149,APP100921,19937,2025-12-01 15:34:54.440383,48
LN300150,APP100797,15652,2025-08-05 13:08:01.636708,36
LN300151,APP100192,7411,2026-01-13 20:37:00.533740,24
LN300152,APP100109,7739,2025-11-23 06:51:54.186998,48
LN300153,APP100895,23331,2026-01-20 22:30:25.287871,24
LN300154,APP100189,11374,2025-10-16 10:45:59.183905,36
LN300155,APP100026,10821,2026-01-13 22:04:24.760195,36
LN300156,APP100780,19686,2026-01-02 22:29:55.150238,24
LN300157,APP100626,23267,2025-09-28 15:12:57.843451,36
LN300158,APP100631,10979,2025-09-16 03:27:35.259178,24
