neighborhood_id,name,city,state,zip_code,population
1,Angel Harbor Park,East Donald,CT,89197,46905
2,New Roberttown Heights,East Jessetown,OH,26563,12296
3,Robinson Radial Park,Lisatown,WV,21427,6639
4,Petersonberg Heights,Port Matthew,CO,50298,23024
5,Michael Key Park,Lindsaymouth,ND,16862,21049
6,Millerport Heights,Barbaraland,AZ,87174,19628
7,Kendra Common Park,Port Craig,KY,59930,14144
8,Franciscostad Heights,Lake Joseph,TX,85440,11717
9,Chelsea Extension Park,East Steven,KY,84387,49348
10,Lake Mark Heights,East Lydiamouth,MO,35594,40741
11,Jason Port Park,Jasonfort,MO,84760,10697
12,Thomasberg Heights,Lake Anna,KS,98413,43698
13,Hurst Locks Park,Jeffreyberg,NY,65187,32651
14,Port Brandonville Heights,Lake Ernest,TX,55834,7082
15,Paul Ranch Park,Riceside,VI,02005,6952
16,Lake Nicoleview Heights,Danielchester,GA,59971,11140
17,Stephanie Wells Park,Teresaburgh,NY,14448,19328
18,Meaganhaven Heights,East Nathaniel,GA,71198,20247
19,Carol Overpass Park,North Sarahport,IA,08093,38118
20,New Stacey Heights,Lake Toddland,WV,70323,44453
