reaction_id,post_id,user_id,reaction_type,created_at
1,3755,134,Smile,2025-08-06 09:54:01
2,5636,2009,Thank,2025-09-29 02:25:59
3,3223,300,Wow,2025-09-18 10:09:49
4,6387,196,Wow,2025-08-10 00:08:47
5,5069,910,Smile,2025-03-27 04:55:48
6,3929,956,Sad,2025-10-28 12:01:46
7,3376,120,Smile,2025-07-23 02:18:56
8,5199,1597,Love,2025-11-23 20:55:25
9,3231,857,Love,2025-06-12 14:43:11
10,4575,1287,Sad,2025-07-18 07:05:17
11,2630,1049,Smile,2025-09-13 23:42:08
12,1722,1305,Thank,2025-08-10 16:37:27
13,5615,747,Wow,2025-03-06 12:38:38
14,4529,768,Thank,2025-11-08 11:15:35
15,5205,1496,Love,2025-08-11 02:55:11
16,3567,1624,Thank,2025-08-15 23:49:23
17,3744,479,Agree,2025-05-30 17:48:15
18,5093,1307,Smile,2025-04-14 15:41:40
19,5998,1091,Wow,2025-07-28 14:01:55
20,5511,1889,Sad,2025-09-23 02:37:40
21,1536,1517,Agree,2025-08-29 01:26:32
22,3419,382,Wow,2025-07-14 08:49:37
23,586,430,Love,2025-08-27 15:54:47
24,2259,1457,Love,2025-07-13 12:13:55
25,6360,816,Helpful,2025-10-26 18:36:10
26,825,1689,Wow,2025-11-04 19:58:25
27,6163,163,Smile,2025-12-03 04:53:42
28,1825,1524,Wow,2025-01-22 15:40:03
29,872,455,Smile,2025-05-31 01:33:08
30,2438,1446,Thank,2025-10-04 08:11:44
31,5306,1905,Agree,2025-08-26 05:15:05
32,4632,176,Love,2025-09-19 05:11:44
33,4068,611,Thank,2025-03-28 14:44:49
34,5830,1041,Wow,2025-09-29 12:35:05
35,4874,1196,Agree,2025-03-25 00:32:41
36,4763,277,Sad,2025-10-02 05:42:27
37,5789,2020,Sad,2025-05-04 00:23:38
38,5509,1649,Helpful,2025-10-25 17:17:06
39,1813,1986,Love,2025-09-07 05:14:39
40,2365,1994,Love,2025-07-11 19:13:57
41,2854,919,Thank,2025-01-26 20:09:37
42,1247,1653,Smile,2025-11-22 03:06:39
43,2974,1991,Agree,2025-11-30 03:26:29
44,4255,2070,Love,2025-03-10 10:47:49
45,1183,704,Wow,2025-04-02 16:17:36
46,2598,1432,Agree,2025-07-11 01:17:43
47,1083,891,Thank,2025-11-16 12:32:42
48,2611,1508,Agree,2025-06-01 08:17:19
49,5757,1210,Love,2025-09-11 15:04:03
50,2290,570,Helpful,2025-09-26 23:16:58
51,1276,325,Agree,2025-06-04 10:56:42
52,3589,182,Smile,2025-02-03 22:15:07
53,5278,906,Love,2025-09-05 19:23:43
54,1389,1994,Sad,2025-10-28 10:31:19
55,1548,2025,Sad,2025-07-12 15:55:18
56,4699,245,Sad,2025-06-24 17:51:00
57,2885,1986,Thank,2025-08-31 15:52:12
58,5750,169,Thank,2025-06-10 11:55:28
59,3257,1624,Agree,2025-03-04 16:58:11
60,2859,312,Agree,2025-04-05 20:14:50
61,1601,1088,Love,2025-08-19 01:45:30
62,1648,428,Wow,2025-08-18 21:12:49
63,5588,1830,Sad,2025-05-26 11:46:18
64,4044,1761,Love,2025-04-17 08:31:31
65,5394,653,Wow,2025-09-29 01:07:06
66,2519,1731,Wow,2025-07-28 07:37:38
67,3135,1230,Smile,2025-06-07 01:29:19
68,5595,523,Sad,2025-09-09 22:12:49
69,3382,507,Helpful,2025-05-22 05:28:56
70,2595,484,Love,2025-07-23 21:03:40
71,2198,1129,Sad,2025-08-25 22:32:24
72,1416,885,Agree,2025-04-17 16:00:04
73,4098,1251,Love,2025-09-22 01:40:21
74,5524,1637,Wow,2025-06-28 19:23:54
75,5647,1425,Love,2025-04-16 23:15:34
76,4238,1068,Helpful,2025-08-11 22:10:42
77,3202,1007,Smile,2025-09-11 00:01:35
78,5682,764,Agree,2025-04-26 22:05:08
