id,user_id,following_id,follow_ts
1,81,343,2024-06-05 11:13:04
2,227,363,2024-06-17 15:21:10
3,376,428,2024-04-17 04:28:35
4,332,165,2024-04-14 14:29:53
5,63,412,2024-05-29 20:19:05
6,497,180,2024-06-08 02:11:27
7,4,128,2024-06-15 20:37:10
8,175,138,2024-05-24 23:16:05
9,44,138,2024-06-20 09:00:06
10,387,178,2024-05-24 18:37:36
11,78,360,2024-05-21 22:46:51
12,216,377,2024-05-20 20:00:06
13,411,190,2024-05-13 19:57:15
14,460,202,2024-06-18 16:46:21
15,407,295,2024-04-03 04:03:03
16,227,71,2024-05-24 22:16:34
17,368,389,2024-04-30 19:19:37
18,44,165,2024-05-22 12:55:30
19,396,87,2024-04-15 20:22:21
20,202,366,2024-06-03 10:19:26
21,473,271,2024-06-22 11:28:47
22,30,488,2024-06-19 22:51:18
23,410,278,2024-06-21 07:19:57
24,499,138,2024-06-05 04:06:03
25,454,295,2024-05-24 00:42:14
26,448,144,2024-06-24 10:37:13
27,161,455,2024-04-19 12:39:34
28,424,138,2024-06-14 22:45:14
29,313,459,2024-05-18 00:27:16
30,229,271,2024-06-25 17:19:13
31,320,377,2024-06-14 05:20:29
32,227,312,2024-06-24 22:32:31
33,208,367,2024-06-09 12:52:00
34,44,20,2024-05-18 11:56:53
35,200,341,2024-03-24 19:24:13
36,267,496,2024-03-25 18:21:10
37,110,45,2024-06-07 06:34:13
38,160,215,2024-04-18 17:17:55
39,12,19,2024-06-15 14:17:04
40,277,247,2024-03-30 17:30:34
41,427,367,2024-05-27 20:56:52
42,259,52,2024-05-01 16:09:04
43,431,165,2024-06-19 00:57:41
44,260,165,2024-03-23 22:18:26
45,388,275,2024-05-13 14:18:14
46,230,138,2024-06-21 10:14:10
47,3,202,2024-06-03 12:16:39
48,413,352,2024-06-10 18:03:06
49,290,327,2024-06-05 07:24:38
50,341,215,2024-05-03 01:16:50
51,180,138,2024-06-18 00:45:16
52,402,393,2024-06-22 21:11:18
53,345,66,2024-05-19 16:39:07
54,267,348,2024-05-19 00:18:01
55,168,215,2024-04-25 00:53:23
56,422,367,2024-05-12 17:06:04
57,51,73,2024-04-23 18:26:20
58,425,176,2024-05-20 22:44:19
59,32,186,2024-05-19 17:31:15
60,244,111,2024-05-25 16:21:45
61,190,293,2024-05-19 04:55:15
62,302,228,2024-05-07 00:44:22
63,447,138,2024-06-09 20:54:34
64,326,182,2024-05-22 01:51:53
65,353,459,2024-06-17 22:41:41
66,375,486,2024-06-20 07:01:39
67,84,70,2024-05-02 13:17:42
68,249,321,2024-02-14 16:27:51
69,496,317,2024-05-18 17:50:12
70,61,308,2024-06-10 21:34:19
71,243,19,2024-04-17 21:20:58
72,484,228,2024-03-14 10:24:35
73,309,415,2024-05-01 18:52:18
74,62,165,2024-06-11 01:23:54
75,21,215,2024-04-10 12:14:08
76,191,144,2024-06-06 23:34:30
77,156,138,2024-05-18 00:19:48
78,406,68,2024-06-29 12:46:53
79,216,26,2024-06-06 01:32:06
80,456,138,2024-05-25 13:02:02
81,420,348,2024-05-14 00:07:56
82,63,221,2024-02-06 17:26:43
83,446,23,2024-06-09 05:09:13
84,294,147,2024-04-14 17:05:45
85,461,165,2024-06-12 01:20:48
86,244,404,2024-06-23 08:40:41
87,68,363,2024-05-24 22:26:15
88,326,202,2024-05-14 00:24:48
89,342,201,2024-06-28 02:05:21
90,167,43,2024-06-22 04:02:45
91,341,259,2024-05-18 16:51:29
92,120,448,2024-05-02 12:02:11
93,277,24,2024-06-20 11:11:57
94,377,138,2024-05-20 22:52:42
95,444,87,2024-04-12 06:56:19
96,293,263,2024-06-28 16:49:18
97,363,147,2024-06-07 13:35:00
98,64,271,2024-05-12 09:08:20
99,99,468,2024-06-23 11:43:55
100,296,363,2024-06-29 10:45:30
101,97,356,2024-05-06 13:48:26
102,460,14,2024-06-25 14:19:48
103,480,215,2024-03-22 07:56:25
104,141,377,2024-03-14 17:57:38
105,425,318,2024-06-20 14:22:29
106,228,41,2024-06-02 23:24:52
107,311,158,2024-04-01 09:37:49
108,252,422,2024-01-30 08:12:11
109,175,193,2024-06-13 21:23:36
110,13,422,2024-05-31 00:20:33
111,196,136,2024-04-05 22:13:39
112,51,216,2024-06-04 03:22:09
113,74,98,2024-06-27 17:51:39
114,46,79,2024-06-02 02:23:27
115,348,87,2024-06-12 17:37:04
116,493,164,2024-05-08 17:59:18
117,366,28,2024-05-04 09:02:58
118,51,161,2024-05-28 20:11:34
