click_id,impression_id,campaign_id,user_id,neighborhood_id,device_type,click_position,landing_page_url,is_conversion,created_at
1,4081,176,817,28,Tablet,headline,http://www.scott.com/,False,2025-04-07 22:00:55
2,11385,149,301,21,Mobile,cta_button,http://lynn.com/,False,2025-08-16 11:17:52
3,41750,181,3404,32,Mobile,image,https://www.holloway-bullock.net/,False,2025-01-26 23:04:38
4,5276,160,4542,50,Desktop,description,http://www.saunders.org/,False,2025-07-01 21:57:31
5,40781,147,2023,13,Tablet,description,http://kelley-harris.com/,False,2025-03-21 20:07:06
6,44393,77,1376,34,Desktop,headline,http://wilcox.org/,False,2025-09-22 20:14:02
7,15835,127,1472,4,Tablet,headline,http://www.guerra-kent.com/,False,2025-10-02 08:12:06
8,49892,119,4572,47,Mobile,description,http://www.allison-harris.com/,False,2025-01-22 07:56:01
9,37297,18,1741,24,Desktop,description,http://www.perez.com/,False,2025-05-04 07:58:11
10,39161,41,2717,24,Desktop,cta_button,https://www.harris-henry.info/,False,2025-09-03 07:52:17
11,18627,187,4095,43,Desktop,cta_button,https://www.wheeler.org/,False,2025-02-08 19:29:20
12,24132,90,4366,29,Mobile,image,http://moore-herrera.com/,False,2025-09-26 09:16:00
13,43653,65,4375,50,Mobile,description,http://www.jensen.com/,False,2025-09-02 20:03:13
14,2952,174,4694,6,Tablet,cta_button,http://avila.com/,False,2025-09-17 20:45:57
15,26741,153,3832,45,Tablet,headline,http://martinez-butler.net/,False,2025-09-05 10:49:24
16,22382,144,1060,5,Mobile,image,http://www.duncan.com/,False,2025-05-07 21:06:20
17,25877,200,940,28,Tablet,description,https://www.lee.info/,False,2025-03-03 04:15:16
18,9914,65,3408,33,Mobile,image,http://www.fox-white.net/,False,2025-08-31 04:37:03
19,28302,55,4970,22,Tablet,headline,https://www.riley.com/,False,2025-06-28 11:04:37
20,16088,168,3687,45,Tablet,image,http://miller.com/,False,2025-10-06 22:32:08
21,27480,28,4933,33,Desktop,image,http://www.bryant.com/,False,2025-10-14 08:01:05
22,10808,49,921,44,Tablet,description,https://www.lee-lewis.com/,False,2025-07-18 18:09:54
23,24259,2,2182,35,Mobile,description,http://fuller.org/,False,2025-01-19 22:03:12
24,21327,89,2184,12,Tablet,cta_button,http://gonzalez.com/,False,2025-08-08 13:17:02
