impression_id,campaign_id,user_id,neighborhood_id,ad_type,ad_placement,device_type,is_viewable,view_duration_seconds,session_id,created_at
1,96,4723,7,Local Deal,Notification,Tablet,True,9,c0e5f034,2025-09-07 11:07:26
2,177,2187,10,Local Deal,Notification,Tablet,False,10,4a7f9e0a,2025-09-10 08:03:19
3,161,1042,39,Video,Search Results,Tablet,True,1,231ea008,2025-08-08 09:29:54
4,139,1545,28,Native,Notification,Tablet,True,6,0f7a795b,2025-01-22 11:46:13
5,112,3519,33,Display,Story,Desktop,False,2,38381149,2025-06-16 17:19:47
6,75,2841,30,Native,Right Rail,Mobile,True,10,10df94a8,2025-05-20 22:37:46
7,13,277,30,Local Deal,Feed,Tablet,True,2,2f5680e2,2025-01-12 09:55:40
8,12,1810,30,Video,Feed,Tablet,False,32,7a66aa7d,2025-04-26 18:36:34
9,56,1564,33,Native,Right Rail,Tablet,True,3,f6eb0a2e,2025-01-28 18:21:28
10,116,654,27,Video,Notification,Mobile,True,0,9dfe9f22,2025-08-07 06:52:27
11,55,3153,42,Native,Notification,Tablet,True,42,f73d47de,2025-07-07 05:26:37
12,87,4647,11,Video,Right Rail,Tablet,True,3,6d6b8264,2025-03-16 05:41:31
13,59,2782,21,Native,Feed,Tablet,True,4,6645b7de,2025-01-08 10:29:53
14,183,2124,13,Sponsored Post,Right Rail,Desktop,True,2,956dc2a0,2025-10-11 13:59:58
15,94,867,48,Display,Search Results,Desktop,True,2,b2220039,2025-01-21 08:57:46
16,140,649,2,Native,Right Rail,Mobile,True,2,6fa001cc,2025-02-15 17:34:36
17,111,3332,8,Native,Notification,Mobile,True,1,363160cf,2025-06-24 13:39:01
18,171,2066,10,Local Deal,Feed,Mobile,True,35,6f38e5ea,2025-03-23 11:08:15
19,162,1887,17,Video,Story,Desktop,True,6,73a29e29,2025-01-26 16:46:17
20,63,1963,27,Display,Search Results,Tablet,True,0,30a3de0c,2025-07-08 18:16:25
21,28,3625,9,Sponsored Post,Search Results,Mobile,True,28,f210f13d,2025-10-01 00:29:06
22,72,431,31,Local Deal,Feed,Desktop,False,50,9daf4ca0,2025-03-31 08:15:47
23,51,39,2,Native,Feed,Desktop,True,2,a87d56c7,2025-09-11 17:00:48
24,89,4713,33,Sponsored Post,Story,Tablet,True,36,20cd923b,2025-08-13 18:32:06
25,126,4700,19,Video,Feed,Tablet,True,5,d7e6a8c1,2025-08-22 18:28:02
26,29,3487,27,Local Deal,Feed,Desktop,True,5,f918fe8c,2025-01-19 09:59:29
27,88,1191,47,Native,Right Rail,Desktop,True,6,f4caf583,2025-09-15 09:47:10
28,31,4639,30,Native,Story,Desktop,True,46,3930b9c4,2025-04-13 13:02:03
29,180,3620,40,Video,Feed,Mobile,True,10,35d18a3e,2025-05-03 21:41:09
30,183,3518,16,Sponsored Post,Notification,Tablet,True,2,3b77f68c,2025-10-15 10:34:50
31,73,3833,13,Native,Story,Desktop,True,6,f332cdfb,2025-08-05 15:38:51
32,33,2975,22,Local Deal,Search Results,Mobile,True,9,dcd230fd,2025-03-27 09:17:38
33,141,615,26,Native,Right Rail,Tablet,True,2,ad9f1325,2025-03-05 12:56:48
34,171,243,4,Local Deal,Story,Mobile,True,7,7c8f6edd,2025-03-19 10:11:39
35,4,2565,23,Display,Right Rail,Desktop,True,0,fefaa8cf,2025-06-05 08:45:51
36,17,2113,3,Native,Story,Mobile,True,0,e5c3c662,2025-05-01 08:37:19
37,29,3407,21,Local Deal,Search Results,Mobile,True,2,7e7c8be7,2025-01-08 21:05:43
38,11,1418,27,Display,Right Rail,Desktop,True,9,9538c52a,2025-10-15 18:15:28
39,60,639,25,Sponsored Post,Notification,Desktop,True,42,526c610b,2025-07-05 07:13:24
40,40,3447,36,Video,Right Rail,Mobile,True,5,66910105,2025-05-31 18:13:47
41,159,1131,31,Display,Story,Tablet,True,36,35d1e15e,2025-07-18 19:36:21
42,162,1201,13,Video,Story,Tablet,True,10,4d65fbef,2025-01-15 09:35:31
43,178,2494,11,Local Deal,Feed,Desktop,False,1,faead36b,2025-05-29 12:02:27
44,125,459,13,Video,Notification,Mobile,False,5,d9c5e5b1,2025-02-17 19:56:44
45,1,449,14,Local Deal,Feed,Tablet,True,2,7631148e,2025-03-17 10:31:36
46,158,3221,7,Video,Notification,Mobile,True,7,069b469e,2025-05-24 21:12:36
47,200,1728,8,Local Deal,Notification,Tablet,True,12,b197252b,2025-02-24 21:42:41
48,135,4782,34,Display,Feed,Desktop,True,1,f99363a7,2025-06-03 21:30:26
49,129,2257,43,Video,Story,Desktop,True,4,a1d36bdc,2025-03-01 10:22:06
50,135,485,35,Display,Feed,Desktop,False,0,bbb965e8,2025-05-20 09:31:43
51,95,3622,8,Native,Notification,Desktop,True,0,9a35accb,2025-06-06 08:36:15
52,14,4952,44,Native,Feed,Desktop,True,2,3b26ae53,2025-02-07 09:19:48
53,166,2031,20,Local Deal,Feed,Mobile,True,8,63c55fea,2025-05-02 11:58:19
54,175,495,1,Display,Story,Mobile,True,22,89ea6728,2025-01-24 07:24:55
55,20,3192,11,Sponsored Post,Story,Mobile,True,0,7562acaa,2025-07-01 17:16:22
56,48,688,38,Native,Right Rail,Mobile,True,2,6838ddb5,2025-05-10 23:50:13
57,166,4658,14,Local Deal,Search Results,Desktop,True,11,b7835134,2025-04-29 19:02:13
58,196,4920,33,Display,Feed,Mobile,False,8,7205c581,2025-06-13 22:47:31
59,66,3976,2,Sponsored Post,Search Results,Tablet,False,29,f8ee2581,2025-03-16 14:00:44
60,165,3037,6,Native,Feed,Desktop,True,0,201bff2d,2025-06-07 20:05:27
61,106,2783,32,Native,Notification,Desktop,True,6,3e0ae56f,2025-09-15 08:08:50
62,145,2653,30,Video,Search Results,Mobile,False,10,84386aaf,2025-06-24 08:38:14
63,118,2358,25,Local Deal,Notification,Mobile,True,21,51515ada,2025-06-21 09:56:18
64,25,3190,41,Video,Right Rail,Mobile,True,10,1ef3d3ed,2025-01-22 19:00:05
65,71,1950,21,Display,Right Rail,Tablet,True,0,a0bc1271,2025-07-03 08:01:02
66,12,3800,23,Video,Feed,Mobile,True,5,a970b27d,2025-05-05 19:08:24
67,160,455,24,Display,Story,Mobile,True,55,07a75ee9,2025-07-07 19:23:22
68,28,3580,27,Sponsored Post,Feed,Desktop,True,1,0f9f8a32,2025-10-16 13:43:59
69,120,31,19,Display,Story,Tablet,True,2,d519bf80,2025-02-27 09:31:30
70,40,1705,41,Video,Search Results,Tablet,False,22,f7fd6c80,2025-05-11 05:40:56
71,169,3404,32,Native,Search Results,Mobile,True,4,7c24a244,2025-02-24 18:30:16
72,29,656,36,Local Deal,Feed,Mobile,True,21,1ab55a80,2025-01-10 08:28:31
73,65,1989,5,Display,Search Results,Tablet,True,5,9676d313,2025-08-31 13:24:14
74,162,231,30,Video,Feed,Tablet,False,0,a058ed2a,2025-01-08 18:39:03
75,153,4293,22,Native,Search Results,Tablet,True,35,208ebe6a,2025-09-07 20:51:08
