revenue_id,campaign_id,advertiser_id,advertiser_name,business_category,revenue_date,impressions,clicks,conversions,revenue_amount,advertiser_spend,cpm,cpc,cpa,ctr,conversion_rate,created_at
1,5,32,Walton Group,Fitness,2025-09-16,4876,532,82,3361.89,2247.47,689.48,6.32,41.0,10.91,15.41,2025-09-16 23:59:00
2,5,32,Walton Group,Fitness,2025-09-17,2292,127,6,908.78,736.83,396.5,7.16,151.46,5.54,4.72,2025-09-17 23:59:00
3,5,32,Walton Group,Fitness,2025-09-18,4553,453,60,2452.38,1664.13,538.63,5.41,40.87,9.95,13.25,2025-09-18 23:59:00
4,5,32,Walton Group,Fitness,2025-09-19,2549,302,42,1599.39,1083.06,627.46,5.3,38.08,11.85,13.91,2025-09-19 23:59:00
5,10,31,Jones LLC,Insurance,2025-09-27,3529,365,86,3329.02,2117.26,943.33,9.12,38.71,10.34,23.56,2025-09-27 23:59:00
6,10,31,Jones LLC,Insurance,2025-09-28,3977,180,21,767.09,527.29,192.88,4.26,36.53,4.53,11.67,2025-09-28 23:59:00
7,10,31,Jones LLC,Insurance,2025-09-29,1134,124,13,493.54,415.75,435.22,3.98,37.96,10.93,10.48,2025-09-29 23:59:00
8,10,31,Jones LLC,Insurance,2025-09-30,2831,346,69,1912.45,1188.65,675.54,5.53,27.72,12.22,19.94,2025-09-30 23:59:00
9,10,31,Jones LLC,Insurance,2025-10-01,4383,596,108,3179.78,2569.24,725.48,5.34,29.44,13.6,18.12,2025-10-01 23:59:00
10,10,31,Jones LLC,Insurance,2025-10-02,839,57,5,159.26,107.41,189.82,2.79,31.85,6.79,8.77,2025-10-02 23:59:00
11,10,31,Jones LLC,Insurance,2025-10-03,2126,265,42,1380.93,854.06,649.54,5.21,32.88,12.46,15.85,2025-10-03 23:59:00
12,10,31,Jones LLC,Insurance,2025-10-04,3368,282,22,728.03,577.93,216.16,2.58,33.09,8.37,7.8,2025-10-04 23:59:00
13,10,31,Jones LLC,Insurance,2025-10-05,2356,198,12,395.31,268.26,167.79,2.0,32.94,8.4,6.06,2025-10-05 23:59:00
14,10,31,Jones LLC,Insurance,2025-10-06,1374,78,15,425.22,336.98,309.48,5.45,28.35,5.68,19.23,2025-10-06 23:59:00
15,10,31,Jones LLC,Insurance,2025-10-07,4639,393,84,2263.47,1544.24,487.92,5.76,26.95,8.47,21.37,2025-10-07 23:59:00
16,10,31,Jones LLC,Insurance,2025-10-08,773,75,14,378.3,274.5,489.39,5.04,27.02,9.7,18.67,2025-10-08 23:59:00
17,10,31,Jones LLC,Insurance,2025-10-09,1004,45,4,129.94,100.77,129.42,2.89,32.48,4.48,8.89,2025-10-09 23:59:00
18,10,31,Jones LLC,Insurance,2025-10-10,2384,311,35,1347.48,979.67,565.22,4.33,38.5,13.05,11.25,2025-10-10 23:59:00
19,10,31,Jones LLC,Insurance,2025-10-11,4191,378,35,974.74,742.33,232.58,2.58,27.85,9.02,9.26,2025-10-11 23:59:00
20,11,10,Andrews-Harvey,Pet Services,2025-09-16,2246,212,31,2663.63,1845.84,1185.94,12.56,85.92,9.44,14.62,2025-09-16 23:59:00
21,11,10,Andrews-Harvey,Pet Services,2025-09-17,2966,134,14,927.16,611.54,312.6,6.92,66.23,4.52,10.45,2025-09-17 23:59:00
22,11,10,Andrews-Harvey,Pet Services,2025-09-18,4961,190,11,695.75,517.64,140.24,3.66,63.25,3.83,5.79,2025-09-18 23:59:00
23,11,10,Andrews-Harvey,Pet Services,2025-09-19,2087,145,23,1906.06,1228.96,913.3,13.15,82.87,6.95,15.86,2025-09-19 23:59:00
24,11,10,Andrews-Harvey,Pet Services,2025-09-20,3056,65,14,1103.39,911.41,361.06,16.98,78.81,2.13,21.54,2025-09-20 23:59:00
25,11,10,Andrews-Harvey,Pet Services,2025-09-21,1324,102,16,1158.72,909.91,875.17,11.36,72.42,7.7,15.69,2025-09-21 23:59:00
26,11,10,Andrews-Harvey,Pet Services,2025-09-22,2003,78,9,692.83,433.71,345.9,8.88,76.98,3.89,11.54,2025-09-22 23:59:00
27,11,10,Andrews-Harvey,Pet Services,2025-09-23,741,46,6,541.01,411.27,730.11,11.76,90.17,6.21,13.04,2025-09-23 23:59:00
