purchase_id,user_id,game_id,item_type,amount_usd,purchased_at
1,2946,,ad_removal,4.99,2024-09-29 08:05:58
2,2785,21,extra_lives,0.99,2024-11-18 11:41:34
3,1640,15,hint_pack,0.99,2024-09-13 08:20:53
4,428,21,hint_pack,0.99,2024-08-18 06:19:57
5,2120,6,hint_pack,0.99,2024-11-04 03:37:50
6,2351,2,extra_lives,1.99,2024-12-05 11:34:38
7,1489,,ad_removal,4.99,2024-10-28 21:50:30
8,1451,,cosmetic,4.99,2024-12-22 05:10:05
9,2028,,ad_removal,2.99,2024-11-30 12:41:36
10,2375,,ad_removal,4.99,2024-09-25 11:28:48
11,2005,12,game_unlock,4.99,2024-06-24 15:40:32
12,2022,10,game_unlock,2.99,2024-09-23 12:46:07
13,1557,,premium_subscription,14.99,2024-08-17 15:30:02
14,2117,6,extra_lives,0.99,2024-10-21 21:14:55
15,2520,8,game_unlock,6.99,2024-11-19 16:01:07
16,1899,,premium_subscription,9.99,2024-10-20 15:10:43
17,226,,premium_subscription,4.99,2024-11-30 15:05:12
18,40,6,hint_pack,0.99,2024-07-30 13:16:09
19,2364,,cosmetic,4.99,2024-05-17 00:12:54
20,1808,,ad_removal,2.99,2024-11-25 05:24:16
21,837,,cosmetic,4.99,2024-09-13 10:26:00
22,1520,21,hint_pack,1.99,2024-12-03 17:33:27
23,497,,cosmetic,2.99,2024-06-20 13:37:26
24,2116,16,hint_pack,1.99,2024-05-18 12:02:18
25,2219,,premium_subscription,9.99,2024-12-05 06:01:44
26,605,,premium_subscription,4.99,2024-10-20 14:30:57
27,1125,12,game_unlock,4.99,2024-05-31 19:38:12
28,144,,premium_subscription,4.99,2024-04-20 09:08:38
29,1048,12,hint_pack,0.99,2024-12-28 10:02:03
30,1523,,cosmetic,2.99,2024-10-20 14:26:52
31,294,6,extra_lives,1.99,2024-04-30 06:10:34
32,1281,3,extra_lives,1.99,2024-11-18 07:57:24
33,1445,13,game_unlock,6.99,2024-12-18 02:17:10
34,788,,premium_subscription,9.99,2024-12-21 15:14:23
35,2827,,cosmetic,4.99,2024-08-27 22:13:04
36,1220,16,game_unlock,2.99,2024-10-12 13:58:40
37,136,,cosmetic,1.99,2024-11-03 06:43:56
38,1046,,premium_subscription,4.99,2024-12-13 21:54:03
39,2583,10,hint_pack,0.99,2024-10-09 08:07:46
40,2601,,premium_subscription,4.99,2024-09-01 22:35:42
41,1563,2,hint_pack,2.99,2024-12-27 12:40:14
42,573,,premium_subscription,9.99,2024-10-17 21:47:52
43,981,21,hint_pack,0.99,2024-02-13 08:58:01
44,2905,,premium_subscription,14.99,2024-07-22 12:46:58
45,956,16,hint_pack,2.99,2024-11-18 12:43:14
46,2368,4,game_unlock,6.99,2024-10-30 17:28:35
47,35,4,extra_lives,1.99,2024-12-28 20:28:38
48,1838,,cosmetic,1.99,2024-10-29 22:47:52
49,1554,6,extra_lives,0.99,2024-11-12 14:45:04
50,2793,9,hint_pack,1.99,2024-07-06 02:54:40
51,815,25,extra_lives,0.99,2024-12-14 04:18:53
52,381,,cosmetic,2.99,2024-08-14 21:59:51
53,1964,,premium_subscription,9.99,2024-03-27 10:18:10
54,1205,10,hint_pack,1.99,2024-10-02 21:21:03
55,1839,,premium_subscription,9.99,2024-11-24 08:24:20
56,2405,,cosmetic,1.99,2024-09-03 05:49:20
57,1137,14,hint_pack,1.99,2024-12-11 00:57:36
58,838,,premium_subscription,4.99,2024-06-11 03:16:50
59,2302,6,hint_pack,0.99,2024-09-10 16:40:20
60,2819,,premium_subscription,9.99,2024-09-03 11:46:23
61,2219,20,extra_lives,0.99,2024-11-09 18:32:53
62,2755,,cosmetic,1.99,2024-05-19 06:39:52
63,2915,,premium_subscription,14.99,2024-10-06 04:47:56
64,2653,,ad_removal,4.99,2024-10-20 23:36:06
65,819,1,hint_pack,0.99,2024-11-05 20:48:19
66,1891,2,hint_pack,0.99,2024-09-12 04:14:36
67,1198,16,extra_lives,0.99,2024-07-15 06:53:45
68,944,15,hint_pack,1.99,2024-08-04 10:02:22
69,2298,4,hint_pack,0.99,2024-09-17 01:02:43
70,1054,5,hint_pack,1.99,2024-11-26 18:03:00
71,2920,17,extra_lives,1.99,2024-09-27 07:14:20
72,2461,3,extra_lives,1.99,2024-09-22 22:23:05
73,1458,23,hint_pack,0.99,2024-06-29 21:53:26
74,558,24,hint_pack,2.99,2024-11-09 11:02:35
75,2614,21,extra_lives,1.99,2024-12-16 15:37:21
76,884,,ad_removal,2.99,2024-09-16 07:34:16
77,2571,,premium_subscription,14.99,2024-10-13 07:46:28
78,374,,premium_subscription,9.99,2024-08-29 21:47:19
79,2107,,premium_subscription,9.99,2024-10-26 22:57:01
80,2631,,ad_removal,2.99,2024-11-27 16:11:32
81,2295,21,game_unlock,2.99,2024-11-05 06:40:11
82,2441,12,extra_lives,0.99,2024-12-24 17:47:09
83,1264,,premium_subscription,14.99,2024-08-30 23:41:44
84,2086,23,game_unlock,6.99,2024-09-03 23:09:46
85,2459,,ad_removal,2.99,2024-08-23 09:06:22
86,605,,cosmetic,1.99,2024-11-16 22:20:13
87,1678,3,hint_pack,0.99,2024-11-09 23:52:48
88,243,3,hint_pack,1.99,2024-07-21 20:45:36
89,754,11,extra_lives,1.99,2024-11-28 18:07:11
90,2156,,ad_removal,4.99,2024-11-09 05:51:22
91,1878,,cosmetic,1.99,2024-11-26 06:17:16
92,1455,,premium_subscription,9.99,2024-06-07 04:02:43
93,1113,,ad_removal,2.99,2024-11-14 06:17:04
94,625,,premium_subscription,9.99,2024-05-04 02:52:48
95,2925,,premium_subscription,9.99,2024-03-28 08:05:01
96,2234,3,hint_pack,2.99,2024-10-11 16:19:18
97,1597,3,extra_lives,1.99,2024-12-06 22:10:38
98,2343,17,extra_lives,0.99,2024-04-11 20:23:19
99,2976,,premium_subscription,4.99,2024-11-08 02:16:03
100,830,19,extra_lives,1.99,2024-11-06 06:07:52
101,146,,ad_removal,2.99,2024-05-22 23:22:54
102,2736,18,hint_pack,1.99,2024-11-12 17:34:04
103,1976,,premium_subscription,4.99,2024-06-14 00:27:21
104,237,13,game_unlock,6.99,2024-05-01 11:37:58
105,307,11,game_unlock,2.99,2024-11-07 06:58:53
106,1861,,cosmetic,4.99,2024-12-09 13:04:24
107,2334,,cosmetic,1.99,2024-07-18 18:56:45
108,1414,1,hint_pack,2.99,2024-03-20 12:22:14
109,163,4,hint_pack,1.99,2024-10-14 21:02:52
110,2110,,premium_subscription,9.99,2024-08-26 11:22:41
111,2537,,ad_removal,2.99,2024-11-14 04:56:06
112,587,18,game_unlock,4.99,2024-06-22 04:26:40
113,2926,,premium_subscription,14.99,2024-12-29 07:20:43
114,313,20,hint_pack,0.99,2024-08-30 15:35:18
115,2457,,cosmetic,2.99,2024-12-04 21:14:10
116,1640,10,game_unlock,6.99,2024-05-11 06:06:59
117,2208,,ad_removal,2.99,2024-07-24 04:11:57
118,376,6,hint_pack,0.99,2024-09-12 11:17:49
119,1598,20,extra_lives,0.99,2024-12-15 03:52:44
120,2125,,premium_subscription,14.99,2024-12-01 00:25:20
121,2980,12,hint_pack,0.99,2024-09-21 09:23:39
122,1177,,premium_subscription,9.99,2024-12-29 04:23:06
123,917,,cosmetic,2.99,2024-08-13 17:37:48
124,1747,3,extra_lives,0.99,2024-08-29 01:25:00
125,2318,13,hint_pack,1.99,2024-09-24 19:58:52
126,843,,cosmetic,4.99,2024-12-15 08:37:48
127,2754,,premium_subscription,4.99,2024-12-01 10:26:15
128,2991,16,extra_lives,0.99,2024-12-29 07:18:06
129,1446,,premium_subscription,14.99,2024-06-12 02:55:35
130,737,2,hint_pack,0.99,2024-09-17 20:23:55
131,1174,19,hint_pack,1.99,2024-12-18 13:25:24
