session_id,user_id,game_id,device_type,started_at,ended_at,completed,score
1,2227,3,alexa,2024-04-01 01:08:03,2024-04-01 01:32:03,1,1138
2,2719,19,alexa,2024-12-22 21:09:47,2024-12-22 21:14:47,1,1491
3,2213,15,google_home,2024-09-02 21:07:37,2024-09-02 21:10:37,0,
4,444,9,alexa,2024-07-13 07:57:54,2024-07-13 08:10:54,1,1739
5,1224,4,alexa,2024-03-24 06:30:31,2024-03-24 06:45:31,1,1500
6,2088,3,mobile_android,2024-10-31 04:50:06,2024-10-31 05:04:06,0,
7,1095,7,mobile_ios,2024-12-20 07:09:38,2024-12-20 07:14:38,0,
8,881,19,mobile_ios,2024-12-30 23:51:19,2024-12-31 00:01:19,0,
9,2437,25,google_home,2024-04-21 16:06:56,2024-04-21 16:48:56,1,127
10,422,9,mobile_android,2024-11-28 19:16:56,2024-11-28 19:42:56,0,
11,21,23,mobile_android,2024-10-16 23:19:42,2024-10-16 23:29:42,1,588
12,1316,1,alexa,2024-05-04 18:29:31,2024-05-04 18:44:31,1,1216
13,1808,1,alexa,2024-11-11 15:40:29,2024-11-11 15:41:29,0,
14,1975,3,mobile_android,2024-11-20 14:04:47,2024-11-20 14:13:47,0,
15,1415,9,mobile_ios,2024-10-08 11:58:31,2024-10-08 12:33:31,1,1376
16,2218,10,alexa,2024-06-06 07:19:39,2024-06-06 07:31:39,1,1390
17,1815,3,alexa,2024-08-24 23:54:24,2024-08-25 00:33:24,1,285
18,390,1,alexa,2024-11-03 13:24:37,2024-11-03 13:38:37,1,680
19,2673,21,mobile_ios,2024-08-08 17:31:46,2024-08-08 17:35:46,0,
20,1520,8,alexa,2024-10-18 06:32:01,2024-10-18 07:00:01,0,
21,936,9,google_home,2024-11-27 07:09:14,2024-11-27 07:52:14,1,368
22,609,20,mobile_ios,2024-06-01 02:46:30,2024-06-01 02:56:30,1,108
23,226,5,alexa,2024-09-14 16:45:11,2024-09-14 16:49:11,0,
24,1769,9,mobile_ios,2024-09-09 03:19:27,2024-09-09 03:25:27,1,1261
25,814,18,google_home,2024-07-09 01:10:01,2024-07-09 01:16:01,1,1042
26,385,24,mobile_ios,2024-09-02 03:41:03,2024-09-02 04:24:03,0,
27,2557,9,mobile_ios,2024-11-17 14:56:57,2024-11-17 14:59:57,1,1343
28,1520,15,alexa,2024-11-26 09:27:02,2024-11-26 09:40:02,1,480
29,2916,25,mobile_ios,2024-12-18 16:25:56,2024-12-18 16:48:56,0,
30,319,4,alexa,2024-04-20 19:21:53,2024-04-20 19:32:53,0,
31,438,18,alexa,2024-10-18 13:28:57,2024-10-18 13:36:57,1,1248
